2021-03-19 15:16:52,275 INFO    MainThread:21024 [wandb_run.py:_config_callback():733] config_cb None None {'Learner': {'loss_func': {'axis': 1, 'flatten': True, 'floatify': False, 'is_2d': True, '_name': 'FlattenedLoss of CrossEntropyLoss()'}, 'opt_func': 'fastai.optimizer.ranger', 'lr': 0.001, 'splitter': 'fastai.vision.learner._resnet_split', 'metrics': '__main__.acc_camvid', 'path': '.', 'model_dir': 'models', 'wd': None, 'wd_bn_bias': False, 'train_bn': True, 'moms': [0.95, 0.85, 0.95], 'self_attention': True, 'act_cls': 'fastai.layers.Mish', 'arch': 'torchvision.models.resnet.resnet34', 'normalize': True, 'n_out': 2, 'pretrained': True, '_name': '<fastai.learner.Learner object at 0x00000225451938E0>'}, 'TrainEvalCallback': True, 'Recorder': {'add_time': True, 'train_metrics': False, 'valid_metrics': True}, 'ProgressCallback': True, 'ParamScheduler': True, 'WandbCallback': {'log': 'gradients', 'log_preds': True, 'log_model': True, 'log_dataset': False, 'dataset_name': None, 'valid_dl': None, 'n_preds': 36, 'seed': 12345, 'reorder': True}, 'n_inp': 1, 'input 1 dim 1': 8, 'input 1 dim 2': 3, 'input 1 dim 3': 200, 'input 1 dim 4': 200, 'batch size': 8, 'batch per epoch': 61, 'model parameters': 41405489, 'device': 'cpu', 'frozen': True, 'frozen idx': 2, 'dataset.tfms': '[Pipeline: PILBase.create, Pipeline: <lambda> -> PILBase.create]', 'dls.after_item': 'Pipeline: AddMaskCodes -> ToTensor', 'dls.before_batch': 'Pipeline: ', 'dls.after_batch': "Pipeline: IntToFloatTensor -- {'div': 255.0, 'div_mask': 1} -> Flip -- {'size': (200, 200), 'mode': 'bilinear', 'pad_mode': 'reflection', 'mode_mask': 'nearest', 'align_corners': True, 'p': 0.5} -> Brightness -- {'max_lighting': 0.2, 'p': 1.0, 'draw': None, 'batch': False} -> Normalize -- {'mean': tensor([[[[0.4850]],\n\n         [[0.4560]],\n\n         [[0.4060]]]]), 'std': tensor([[[[0.2290]],\n\n         [[0.2240]],\n\n         [[0.2250]]]]), 'axes': (0, 2, 3)}"}
2021-03-19 15:16:52,277 INFO    MainThread:21024 [wandb_watch.py:watch():39] Watching
2021-03-19 16:18:21,141 INFO    MainThread:21024 [wandb_init.py:_pause_backend():247] pausing backend
2021-03-19 16:18:21,145 INFO    MainThread:21024 [jupyter.py:save_ipynb():265] not saving jupyter notebook
2021-03-19 16:36:51,746 INFO    MainThread:21024 [wandb_init.py:_resume_backend():256] resuming backend
2021-03-19 16:55:05,538 INFO    MainThread:21024 [wandb_init.py:_pause_backend():247] pausing backend
2021-03-19 16:55:05,539 INFO    MainThread:21024 [jupyter.py:save_ipynb():265] not saving jupyter notebook
2021-03-19 16:56:28,510 INFO    MainThread:21024 [wandb_init.py:_resume_backend():256] resuming backend
2021-03-19 16:56:28,512 INFO    MainThread:21024 [wandb_init.py:_pause_backend():247] pausing backend
2021-03-19 16:56:28,512 INFO    MainThread:21024 [jupyter.py:save_ipynb():265] not saving jupyter notebook
